app,genre,rank,chart
eBay: Buy & Sell - Find Deals,Shopping,71,free-apps
Credit Karma,Finance,72,free-apps
Candy Crush Saga,Games,73,free-apps
Piano Tiles 2™,Games,74,free-apps
Kick the Buddy,Games,75,free-apps
Super Mario Run,Games,76,free-apps
Episode - Choose Your Story,Games,77,free-apps
Photomath,Education,78,free-apps
Amazon Music,Music,79,free-apps
Houseparty,Social Networking,80,free-apps
Fire Up!,Games,81,free-apps
Google Translate,Reference,82,free-apps
Toon Blast,Games,83,free-apps
Amazon Prime Video,Entertainment,84,free-apps
"Find My Family, Friends, Phone",Social Networking,85,free-apps
Xbox,Entertainment,86,free-apps
Flipagram,Photo & Video,87,free-apps
Huji Cam,Photo & Video,88,free-apps
Google Calendar,Productivity,89,free-apps
Shazam,Music,90,free-apps
"Cash, Inc. Fame & Fortune Game",Games,91,free-apps
GroupMe,Social Networking,92,free-apps
Wordscapes,Games,93,free-apps
Airbnb,Travel,94,free-apps
Rolly Vortex,Games,95,free-apps
Would you rather?!,Games,96,free-apps
8 Ball Pool™,Games,97,free-apps
Mercari: The Selling App,Shopping,98,free-apps
Starbucks,Food & Drink,99,free-apps
The Weather Channel: Forecast,Weather,100,free-apps
